Studio,Start time,Classes,Instructor,Sign up
ILD Queens,18:00:00,New Dance | Xg Part 5,MJ Choi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8515&classDate=10/31/2023&clsLoc=1
ILD Queens,19:30:00,Back For More | Txt Part 5,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8513&classDate=10/31/2023&clsLoc=1
