Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826633&classDate=2/14/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Will Negrillo,Studio LLC,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826143&classDate=2/14/2024&clsLoc=1,IN-STUDIO Beginner Contemporary,Linda Celeste Sims,Studio 1C,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826166&classDate=2/14/2024&clsLoc=1,IN-STUDIO Open Hip-Hop,Antonio Jefferson,Studio 1B,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826147&classDate=2/14/2024&clsLoc=1,IN-STUDIO Beginner Heels,Marie Rose Baramo,Studio LLC,1 hour &30 minutes
Ailey Studios,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826785&classDate=2/14/2024&clsLoc=1,IN-STUDIO Beginner Jazz,Matthew Lynady,Studio 5B,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826137&classDate=2/14/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Benjamin Briones,Studio 1A,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826154&classDate=2/14/2024&clsLoc=1,IN-STUDIO Beginner Horton,Amos Machanic,Studio 2A,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826173&classDate=2/14/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Mike Gomez,Studio 5A,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826169&classDate=2/14/2024&clsLoc=1,IN-STUDIO Sabar,Bakary Fall,Studio 2B,1 hour &30 minutes
Ailey Studios,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826165&classDate=2/14/2024&clsLoc=1,IN-STUDIO Open Capoeira,Mestre Alegria,Studio 1A,1 hour
