Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826261&classDate=4/7/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,11:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826293&classDate=4/7/2024&clsLoc=1,IN-STUDIO Pilates Fusion,Olivia Bowman-Jackson,Studio 5A,1 hour
Ailey Studios,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826744&classDate=4/7/2024&clsLoc=1,IN-STUDIO Lastics® Stretch Technique,Emma Scholz,Studio 5B,1 hour
Ailey Studios,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826279&classDate=4/7/2024&clsLoc=1,IN-STUDIO Beginner Horton,Linda Celeste Sims,Studio 1C,1 hour &30 minutes
Ailey Studios,2:00 pm EDT,none,IN-STUDIO Beginner Hip-Hop,Cancelled Today,none,1 hour &30 minutes
Ailey Studios,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826285&classDate=4/7/2024&clsLoc=1,IN-STUDIO Beginner West African,Vado Diomande,Studio 1A,1 hour &30 minutes
Ailey Studios,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826296&classDate=4/7/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Tatiana Maya,Studio LLC,1 hour
Ailey Studios,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826251&classDate=4/7/2024&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Aaron Thomas,Studio LLC,1 hour &30 minutes
Ailey Studios,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826289&classDate=4/7/2024&clsLoc=1,IN-STUDIO Modern Afro-Cuban,Noibis Licea,Studio 2A,1 hour &30 minutes
Ailey Studios,2:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826267&classDate=4/7/2024&clsLoc=1,IN-STUDIO Beginner Contemporary,Shaina McGregor,Studio 1B,1 hour &30 minutes
Ailey Studios,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826260&classDate=4/7/2024&clsLoc=1,IN-STUDIO Afro'Dance,Angel Kaba,Studio 1C,1 hour &30 minutes
