Studio,Start time,Classes,Instructor,Sign up
ILD Queens,18:00:00,Batter Up | Babymonster Part 1,Winnie Chung,none
ILD Queens,19:30:00,God Of Music | Seventeen Part 1,Ness Martinez,none
