Studio,Start time,,Classes,Teacher,Duration
Brickhouse,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7914&classDate=4/18/2024&clsLoc=1,Hip Hop (Int/Adv),Nycole Altchiler,1 hour &30 minutes
Brickhouse,6:00 pm EDT,none,Generation X (Private),Kelly Peters,3 hours
Brickhouse,9:00 pm EDT,none,X Pro (Private),Kelly Peters,2 hours
