Studio,Start time,,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7912&classDate=4/5/2024&clsLoc=1,LIVE-STREAM Mat Pilates Class,Ashley Carter,none,none,1 hour
Ballet Academy East,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7925&classDate=4/5/2024&clsLoc=1,VIRTUAL Basic Beginner/Beginner Ballet,Anne Kelly,none,none,1 hour &15 minutes
Ballet Academy East,7:45 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=7938&classDate=4/5/2024&clsLoc=1,LIVE-STREAM Introduction to Ballet,Sean Kelly,none,none,1 hour &30 minutes
