Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,6:00 pm  EDT,none,LIVESTREAM: Adv Beg JAZZ FUNK with Chio,Canceled Today,LS ST-3,1 hour & 30 minutes
