Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Killin' It | P1Harmony Part 1,Regina Lustre,none
ILD NJ,19:30:00,Super Lady | Gi-Dle Part 1,Ness Martinez,none
