Studio,Start time,Classes,Instructor,Length
PJM LIC,6:30 pm,Int Choreography,Tay Gresham,1 hr 30 min
PJM LIC,8:00 pm,Adv Beg Choreography,Mini Zhang,1 hr 30 min
