Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146826249&classDate=3/28/2024&clsLoc=1,ONLINE: Zumba,Diego Chauca,none,1 hour
Ailey Studios,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=50&classId=2146826247&classDate=3/28/2024&clsLoc=1,ONLINE: West African,Maguette Camara,none,1 hour
