Studio,Start time,,Classes,Teacher,Room,Duration
ILoveDance,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=9376&classDate=3/29/2024&clsLoc=1,Online: EASY | LE SSERAFIM (Part 4),Eunice Shin,none,1 hour &20 minutes
ILoveDance,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=35&classId=9296&classDate=3/29/2024&clsLoc=1,Online: Super Lady | (G)I-DLE (Part 4),Ness Martinez,none,1 hour &20 minutes
