Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825957&classDate=11/27/2023&clsLoc=1,IN-STUDIO Barre Fusion,Brandy Williams,Studio 2B,1 hour
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825206&classDate=11/27/2023&clsLoc=1,IN-STUDIO Hip Hop Cardio,Matthew Johnson Harris,Studio 5D,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824746&classDate=11/27/2023&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 2A,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824713&classDate=11/27/2023&clsLoc=1,IN-STUDIO African - Brazilian,Janete Da Silva,Studio 2B,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824728&classDate=11/27/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Linda Celeste Sims,Studio 1A,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824719&classDate=11/27/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825201&classDate=11/27/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 6A,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824766&classDate=11/27/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Carlos Chavez (1),Studio 1B,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824716&classDate=11/27/2023&clsLoc=1,IN-STUDIO Afro'Dance,Judith McCarty,Studio 5B,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825216&classDate=11/27/2023&clsLoc=1,IN-STUDIO New Way Vogue,Jason Rodriguez,Studio LLC,1 hour &30 minutes
