Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18318&classDate=11/27/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Ashley Lynne King,Ashley Lynne King,Studio 3,1 hour &30 minutes
Broadway Dance Center,9:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18338&classDate=11/27/2023&clsLoc=1,IN-PERSON: All Levels YOGA AND MEDITATION with Lauren Marsaglia,Alyssa Click (1),Studio 4,1 hour &15 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18123&classDate=11/27/2023&clsLoc=1,IN-PERSON: Beg BALLET with Michele Moreno,Michele Moreno,Studio A,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18646&classDate=11/27/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Blue,Blue,Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18103&classDate=11/27/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Studio A,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18543&classDate=11/27/2023&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with AntBoogie,AntBoogie,Studio 5,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18373&classDate=11/27/2023&clsLoc=1,IN-PERSON: Beg THEATER with Ian Klein,Ian Klein,Studio 4,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18098&classDate=11/27/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY with Jaclyn Walsh,"Julie ""JJ"" Joseph (2)",Studio A,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18177&classDate=11/27/2023&clsLoc=1,IN-PERSON: Basic TAP with Brent McBeth,Brent McBeth,Studio B,1 hour &30 minutes
Broadway Dance Center,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18101&classDate=11/27/2023&clsLoc=1,IN-PERSON: Int THEATER with Lizz Picini,Lizz Picini,Studio 5,1 hour &30 minutes
