Studio,Start time,Sign up,Sessions,Teacher,Studio,Duration
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12531&classDate=11/27/2023&clsLoc=1,Advanced Ballet with Elisa Clark at 890,Elisa Clark,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12875&classDate=11/27/2023&clsLoc=1,Contemporary: 2nd Best Dance Company at 280,Hannah Garner,Gibney 280: Studio C,1 hour &45 minutes
Gibney,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12842&classDate=11/27/2023&clsLoc=1,Nagare Technique: Contemporary Floorwork at 280,Cameron McKinney,Gibney 280: Studio C,1 hour &45 minutes
Gibney,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12908&classDate=11/27/2023&clsLoc=1,Emergent Improvisation with Troy Ogilvie at 280 (MASKS REQUIRED),Troy Ogilvie,Gibney 280: Studio C,1 hour &45 minutes
Gibney,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12929&classDate=11/27/2023&clsLoc=1,Contemporary Floorwork with Enzo Celli & Destany Churchwell at 280,Enzo Celli & Destany Churchwell,Gibney 280: Studio C,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12556&classDate=11/28/2023&clsLoc=1,Ballet with Gilbert T Small II at 890,Gilbert T Small II,Gibney 890: Studio 5-2,1 hour &45 minutes
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12844&classDate=11/28/2023&clsLoc=1,Countertechnique with Francesca Dominguez at 280,Francesca Dominguez,Gibney 280: Studio C,1 hour &45 minutes
Gibney,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12563&classDate=11/28/2023&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C,1 hour &45 minutes
Gibney,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12568&classDate=11/28/2023&clsLoc=1,Intermediate/Advanced Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12937&classDate=11/29/2023&clsLoc=1,Contemporary Forms with Claudia-Lynn Rightmire at 280,Teacher TBD,Gibney 280: Studio C,1 hour &45 minutes
