Studio,Start time,Sign up,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,8:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7903&classDate=11/27/2023&clsLoc=1,IN-STUDIO Mat Pilates Class,Phoebe Higgins,none,Studio 2,1 hour
Ballet Academy East,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7969&classDate=11/27/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Julia Dubno,none,Studio 6,1 hour &30 minutes
Ballet Academy East,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7954&classDate=11/27/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7939&classDate=11/27/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7991&classDate=11/27/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Ginger Thatcher,none,Studio 3,1 hour &30 minutes
Ballet Academy East,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7941&classDate=11/27/2023&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Anne Kelly,none,Studio 1,1 hour &30 minutes
Ballet Academy East,7:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7917&classDate=11/27/2023&clsLoc=1,IN-STUDIO Stretch & Strengthen,Julie Voshell,none,Studio 5,1 hour
Ballet Academy East,9:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7972&classDate=11/28/2023&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7905&classDate=11/28/2023&clsLoc=1,IN-STUDIO Mat Pilates Class,Ashley Carter,none,Studio 4,1 hour
Ballet Academy East,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7992&classDate=11/28/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Shirley Bassat,none,Studio 6,1 hour &30 minutes
Ballet Academy East,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7956&classDate=11/28/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Justin Sherwood,none,Studio 2,1 hour &30 minutes
Ballet Academy East,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7993&classDate=11/28/2023&clsLoc=1,IN-STUDIO Intermediate Ballet,Julie Voshell,none,Studio 5,1 hour &30 minutes
