Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Sheesh | Babymonster Part 4,Maylin Ramos,none
ILD NJ,19:30:00,Midas Touch | Kiss Of Life Part 4,Min Seon Kim,none
