Studio,Start time,,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3648&classDate=3/27/2024&clsLoc=1,Professional Level Taylor Modern,Takehiro Ueyama (3),none,Mal Stein,1 hour &30 minutes
Taylor School,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3689&classDate=3/27/2024&clsLoc=1,Adult Open Level Modern,Joao Carvalho,none,none,1 hour &30 minutes
