Studio,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4953&classDate=9/11/2023&clsLoc=1,Gaga/people,Doron Perk *GAGA (Masks Optional) (1),none,none,1 hour
Mark Morris Dance,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=3125&classDate=9/11/2023&clsLoc=1,Gyrokinesis,Efe *Alibo (2),none,none,1 hour & 15 minutes
Mark Morris Dance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5521&classDate=9/11/2023&clsLoc=1,Advanced Ballet,Mica Bernas *MMDG Dancer (Masks Optional) (3),none,none,2 hours
Mark Morris Dance,10:15 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5058&classDate=9/11/2023&clsLoc=1,Cunningham Technique Open Class,Carol Teitelbaum *Cunningham (Mask Optional) (4),none,Jack *Goode,1 hour & 30 minutes
Mark Morris Dance,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5122&classDate=9/11/2023&clsLoc=1,Beginner Contemporary,Nicole *Philippidis (Mask Optional),none,Alex Perry,1 hour & 30 minutes
Mark Morris Dance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4989&classDate=9/11/2023&clsLoc=1,Beginner Ballet,Claudia McDonald (Mask Optional) (5),none,Brendan Polk,1 hour & 30 minutes
Mark Morris Dance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=100&classId=5057&classDate=9/11/2023&clsLoc=1,Dance Church®,Dance Church *Rotating Faculty (Mask Optional),none,none,1 hour & 15 minutes
Mark Morris Dance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5522&classDate=9/11/2023&clsLoc=1,Open Level Street Jazz,Kim Holmes (Mask Optional),none,none,1 hour & 30 minutes
Mark Morris Dance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5551&classDate=9/11/2023&clsLoc=1,Open Level Hip-Hop,Léa Ono (Masks Optional),none,none,1 hour & 30 minutes
Mark Morris Dance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=154&classId=5523&classDate=9/11/2023&clsLoc=1,Samba & Afro-Brazilian,Quenia *Ribeiro (Masks Optional),none,none,1 hour & 30 minutes
