Studio,Start time,,Classes,Teacher,Accompanist,Co-Teacher,Location,Duration
Peridance,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6736&classDate=4/24/2024&clsLoc=1,Open Yoga,Sarah Iguchi,none,none,none,1 hour
Peridance,9:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6725&classDate=4/24/2024&clsLoc=1,Open Ballet,Greg Zane,none,none,none,1 hour &30 minutes
Peridance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6795&classDate=4/24/2024&clsLoc=1,Adv Ballet,Artistic Director: Igal Perry,Raisa Umanskaya,none,none,1 hour &30 minutes
Peridance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=4301&classDate=4/24/2024&clsLoc=1,Inter Contemporary,Brandon Coleman,none,none,none,1 hour &30 minutes
Peridance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=5260&classDate=4/24/2024&clsLoc=1,Open Barre à Terre,Anabella Lenzu,none,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=7078&classDate=4/24/2024&clsLoc=1,Adv Ballet,Roya Carreras (1),Raisa Umanskaya,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6721&classDate=4/24/2024&clsLoc=1,Beg Ballet,Martha Chapman,Michael Dolnikov,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=5484&classDate=4/24/2024&clsLoc=1,Inter Broadway Jazz,Sue Samuels,none,none,none,1 hour &30 minutes
Peridance,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5509&classDate=4/24/2024&clsLoc=1,Inter Contemporary,Marijke Eliasberg,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6956&classDate=4/24/2024&clsLoc=1,Beg Horton,Katrina Perrin,Chris O'Leary,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5418&classDate=4/24/2024&clsLoc=1,Inter Ballet,Billy Blanken,none,none,none,1 hour &30 minutes
Peridance,1:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6737&classDate=4/24/2024&clsLoc=1,Inter Choreography,James Kho,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7122&classDate=4/24/2024&clsLoc=1,Adv Contemporary,Mike Esperanza,none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5402&classDate=4/24/2024&clsLoc=1,Beg House,Huu Rock (2),none,none,none,1 hour &30 minutes
Peridance,2:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6780&classDate=4/24/2024&clsLoc=1,Open Stretch,Diego Funes,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7333&classDate=4/24/2024&clsLoc=1,Inter Contemporary,JM Rodriguez,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6342&classDate=4/24/2024&clsLoc=1,Inter Hip Hop,TweetBoogie _,none,none,none,1 hour &30 minutes
Peridance,4:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5472&classDate=4/24/2024&clsLoc=1,Open Dancehall,Korie Genius,none,none,none,1 hour &30 minutes
Peridance,5:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=7158&classDate=4/24/2024&clsLoc=1,Beg Popping,"Justin ""Ice O"" Herbin",none,none,none,1 hour &30 minutes
