Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am  EDT,none,ITP CLOSED CLASS,ITP Master Class,Studio 1,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17663&classDate=8/16/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Dre Torres,Dre Torres,Studio B,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17734&classDate=8/16/2023&clsLoc=1,IN-PERSON: Beg LYRICAL with Emily Bufferd,Emily Bufferd,Studio A,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17026&classDate=8/16/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY LYRICAL with Tracie Stanfield,Tracie Stanfield,Studio 3,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17038&classDate=8/16/2023&clsLoc=1,IN-PERSON: Beg JAZZ FUNK with Chio,Chio,Studio 5,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17540&classDate=8/16/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Studio 1,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17972&classDate=8/16/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ with Sheila Barker,Sheila Barker,Studio A,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17050&classDate=8/16/2023&clsLoc=1,IN-PERSON: Beg TAP with Doug Shankman,Mike Camire (2),Studio B,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17564&classDate=8/16/2023&clsLoc=1,IN-PERSON: Beg BALLET with Joy Karley,Joy Karley,Studio 4,1 hour & 30 minutes
Broadway Dance Center,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17558&classDate=8/16/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Brent McBeth,Brent McBeth,Studio B,1 hour & 30 minutes
Broadway Dance Center,2:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17556&classDate=8/16/2023&clsLoc=1,IN-PERSON: Beg JUMPS AND TURNS with Eric Campros,Eric Campros,Studio 3,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17889&classDate=8/16/2023&clsLoc=1,IN-PERSON: All Levels ACRO with Sissa Strain,Sissa Strain,Studio 4,1 hour & 30 minutes
Broadway Dance Center,4:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17590&classDate=8/16/2023&clsLoc=1,IN-PERSON: Int TAP with Ray Hesselink,Ray Hesselink,Studio B,1 hour & 30 minutes
