Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Eunice Shin,none
ILD Queens,18:00:00,Drama | Aespa Part 1,Eunice Shin,none
ILD Queens,19:30:00,God Of Music | Seventeen Part 1,Maylin Ramos,none
