Studio,Start time,Classes,Instructor,Sign up
ILD NYC,18:30:00,Batter Up | Babymonster Part 1,Winnie Chung,none
ILD NYC,20:00:00,Standing Next To You | Jungkook Part 1,Ying Dong,none
