Studio,Start time,,Classes,Teacher,Duration
Brickhouse,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=8010&classDate=4/23/2024&clsLoc=1,Hip Hop (Int/Adv),Jojo Brooks,1 hour &30 minutes
Brickhouse,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7712&classDate=4/23/2024&clsLoc=1,Hip Hop (Adv. Beg/Int),Mini Zhang,1 hour &30 minutes
Brickhouse,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=8075&classDate=4/23/2024&clsLoc=1,Pop Up - Choreography,Sir Gregg,2 hours
Brickhouse,8:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7713&classDate=4/23/2024&clsLoc=1,Heels (Int/Adv),Emma Rosa,1 hour &30 minutes
