0,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
1,   6:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822745&classDate=3/13/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C, 1 hour & 30 minutes
2,   6:30 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822785&classDate=3/13/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Will Negrillo,Studio 1B, 1 hour
3,   7:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146823589&classDate=3/13/2023&clsLoc=1,IN-STUDIO Afro'Dance,Judith McCarty,Studio 5D, 1 hour
4,   6:30 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822769&classDate=3/13/2023&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 2A, 1 hour
5,   7:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822740&classDate=3/13/2023&clsLoc=1,IN-STUDIO African - Brazilian,Janete Da Silva,Studio 2B, 1 hour & 30 minutes
6,   7:00 pm  EDT,/ASP/res_a.asp?tg=12&classId=2146822754&classDate=3/13/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Linda Celeste Sims,Studio 1A, 1 hour & 30 minutes
