Studio,Start time,,Classes,Teacher,Duration
Sass Class,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=33&classId=839&classDate=5/2/2024&clsLoc=1,LIVESTREAM | Fierce Feminine® Hip Hop,Sophia (3),1 hour
Sass Class,8:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=33&classId=586&classDate=5/2/2024&clsLoc=1,LIVESTREAM | Sass Advanced: Sexy Stilettos®,Sophia (4),1 hour
