Studio,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4990&classDate=9/26/2023&clsLoc=1,Advanced Ballet,Sam Black *MMDG Co. Director (Mask Optional),none,Ai *Isshiki,2 hours
Mark Morris Dance,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4613&classDate=9/26/2023&clsLoc=1,Beginner Modern,Claudia *McDonald (Mask Optional),none,Marina *Makarova,1 hour & 30 minutes
Mark Morris Dance,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=143&classId=5547&classDate=9/26/2023&clsLoc=1,Movement for Older Bodies: Open Level Move & Flow,Alexandra *Berger (Mask Optional),none,Tracy *Yang,1 hour
Mark Morris Dance,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=5524&classDate=9/26/2023&clsLoc=1,Senegalese Dance,Marie *Basse,none,none,1 hour & 30 minutes
Mark Morris Dance,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=4970&classDate=9/26/2023&clsLoc=1,Intermediate Modern,Andrea *Murillo (Mask Optional),none,Andreas *Brade,1 hour & 30 minutes
Mark Morris Dance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=132&classId=5549&classDate=9/26/2023&clsLoc=1,Beginner Haitian,Véronëque *Ignace (Masks Optional),none,none,1 hour & 30 minutes
Mark Morris Dance,7:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4929&classDate=9/26/2023&clsLoc=1,Intermediate Ballet,Ashley *Tuttle (Masks Optional),none,Dmitry *Polischuk,1 hour & 30 minutes
Mark Morris Dance,7:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=137&classId=5552&classDate=9/26/2023&clsLoc=1,Classical Indian,Yamini Kalluri (Masks Optional),none,Greg *Gonzalez,1 hour & 30 minutes
Mark Morris Dance,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5526&classDate=9/26/2023&clsLoc=1,Beginner Jazz,Kristina *Bermudez (Mask Optional),none,none,1 hour & 30 minutes
Mark Morris Dance,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5527&classDate=9/26/2023&clsLoc=1,Open Level House,Kim Holmes (Mask Optional),none,none,1 hour & 30 minutes
