Studio,Start time,Classes,Instructor,Length
PJM LIC,5:00 pm,Hip Hop Foundations,Beasty,1 hr 30 min
PJM LIC,6:30 pm,Beg House,Huu Rock,1 hr 30 min
PJM LIC,8:00 pm,Adv Beg Jazz Funk,Helen Maldonado,1 hr 30 min
