Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Sheesh | Babymonster Part 1,Maylin Ramos,none
ILD NJ,19:30:00,Midas Touch | Kiss Of Life Part 1,Min Seon Kim,none
