Studio,Start time,Sign up,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=29&classId=4950&classDate=8/12/2023&clsLoc=1,Pilates Flow,Lesley Garrison MMDG Dancer (Masks Optional) (13),none,none,1 hour
Mark Morris Dance,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=3546&classDate=8/12/2023&clsLoc=1,Beginner Ballet,Cara Surico (Mask Optional),none,Patrick Gallagher,1 hour & 30 minutes
Mark Morris Dance,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=128&classId=3529&classDate=8/12/2023&clsLoc=1,Afro-Caribbean Dance & Movement,Patricia Hall (Masks Required),none,none,1 hour & 30 minutes
