Studio,Start time,Classes,Link,Instructor
Gramercy Studios,11:30am,Open Level Hip Hop Aerobics ,unavailable, Davon
Gramercy Studios,1pm,Open Level Dance Conditioning ,unavailable, Kristi
Gramercy Studios,2:00pm,Beginner New Style Hustle ,unavailable, Kenji
Gramercy Studios,7PM,Intermediate/Advanced hip hOP ,unavailable, ANGEL
