Studio,Start time,Classes,Link,Instructor
Gramercy Studios,4PM,BEGINNER contemporary fusion ,unavailable, Yurie
Gramercy Studios,5:30pm,intermediate lyrical r&b ,unavailable, hunter
Gramercy Studios,7pm,open level choreo ,unavailable, Paul
Gramercy Studios,8:30pm,intermediate heels ,unavailable, Cristina
