Studio,Start time,Classes,Instructor,Sign up
ILD NJ,18:00:00,Fast Forward | Somi Part 3,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8458&classDate=9/18/2023&clsLoc=1
ILD NJ,19:30:00,Cake | Itzy Part 3,Min Seon Kim,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8446&classDate=9/18/2023&clsLoc=1
