Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Cancelled Today,none
ILD Queens,18:00:00,Killin Me Good | Jihyo Part 3,Cancelled Today,none
ILD Queens,19:30:00,Fast Forward | Somi Part 3,Cancelled Today,none
