Studio,Start time,Sign up,Classes,Teacher,Assistant,Musician,Duration
Taylor School,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=3561&classDate=9/19/2023&clsLoc=1,Professional Level Taylor Modern,Maria Ambrose (2),none,Richard Bennett,1 hour & 30 minutes
Taylor School,6:15 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3597&classDate=9/19/2023&clsLoc=1,Adult Open Level Modern,lisa nevada,none,none,1 hour & 30 minutes
