Studio,Start time,,Classes,Teacher,Accompanist,Location,Duration
Peridance,9:30 am EST,none,Open Ballet,Kathy Sullivan,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,none,Adv Ballet,Jillian Davis (1),Michael Dolnikov,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,none,Adv Contemporary | GUEST CLASS,Mike Tyus & Luca Renzi,none,Peridance Center,1 hour &30 minutes
Peridance,10:30 am EST,none,Open Zena Rommett Floor-Barre ®,LuAnn Leonard,none,Peridance Center,1 hour
Peridance,11:00 am EST,none,Open Pointe,Kathy Sullivan,none,Peridance Center,30 minutes
Peridance,11:30 am EST,none,Adv Contemporary,Chris Ralph,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,none,Beg Ballet,Yuka Kawazu,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,none,Beg Contemporary,Bo Kyung Lee,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,none,Inter MUNZ Barre ®,Bivi Kimura,none,Peridance Center,1 hour &15 minutes
Peridance,1:00 pm EST,none,Adv Choreography,Eric Delgado,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,none,Inter Ballet,Kate Loh,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,none,Inter Contemporary,Max Stone,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,none,Open Stretch,Diego Funes,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,none,Beg Graham,Cara McManus (2),none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,none,Open Gyrokinesis®,Cancelled Today,none,none,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6404&classDate=1/2/2024&clsLoc=1,Open Ballet,Dianna Warren,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5386&classDate=1/2/2024&clsLoc=1,Open House,Sekou Heru,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6689&classDate=1/2/2024&clsLoc=1,Beg Ballet,Julia Gleich,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5507&classDate=1/2/2024&clsLoc=1,Open Popping,Jazzy J (Boog Soulfire),none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5394&classDate=1/2/2024&clsLoc=1,Adv Choreography,Parth Sethi (3),none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6735&classDate=1/2/2024&clsLoc=1,Beg Contemporary,Lorena Cobos (4),none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6690&classDate=1/2/2024&clsLoc=1,Adv Contemporary,Alex Anderson,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6939&classDate=1/2/2024&clsLoc=1,Beg African,Djoniba Mouflet | DJONIBA DANCE CENTRE,none,Peridance Center,1 hour &30 minutes
Peridance,8:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6959&classDate=1/2/2024&clsLoc=1,Inter Krump,TwiceLight __,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5392&classDate=1/2/2024&clsLoc=1,Beg Vogue,Omari Wiles,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,none,Open Litefeet,Cancelled Today,none,none,1 hour &30 minutes
