Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,10:00 am EST,none,IN-STUDIO Adv Beg Ballet,Ronald Alexander,Studio 5B,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824874&classDate=1/2/2024&clsLoc=1,IN-STUDIO Beginner Salsa,Baila Society,Studio LLC,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824837&classDate=1/2/2024&clsLoc=1,IN-STUDIO Abs Beg Hip-Hop,Robin Dunn,Studio 2B,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824871&classDate=1/2/2024&clsLoc=1,IN-STUDIO Beginner Jazz,Jeffrey Bynum,Studio 5A,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146826652&classDate=1/2/2024&clsLoc=1,IN-STUDIO Open Contemporary,Shaina McGregor,Studio 2A,1 hour &30 minutes
Ailey Studios,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824889&classDate=1/2/2024&clsLoc=1,IN-STUDIO Open Samba,Quenia Ribeiro,Studio 1B,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824850&classDate=1/2/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Yuka Kawazu,Studio 1B,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824897&classDate=1/2/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Diego Chauca,Studio 1C,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824844&classDate=1/2/2024&clsLoc=1,IN-STUDIO Afro-Cuban Folkloric,LA MORA,Studio 1A,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824863&classDate=1/2/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,Jonathan Lee,Studio 1C,1 hour &30 minutes
Ailey Studios,7:00 pm EST,none,IN-STUDIO Vogue Fem,Cancelled Today,none,1 hour &30 minutes
