Studio,Start time,,Classes,Teacher,Duration
Cumbe Dance Center,7:00 pm EST,none,Afro-Fusion [All Levels],Cancelled Today,1 hour &30 minutes
Cumbe Dance Center,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=3990&classDate=1/2/2024&clsLoc=1,West African Dance - Ivory Coast [All Levels],Vado Diomande,1 hour &30 minutes
