0,Start time,Sign up,Classes,Teacher,Duration
1,   6:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=387&classDate=3/14/2023&clsLoc=1,Neo-Burlesque,Tony, 1 hour
2,   7:10 pm  EDT,/ASP/res_a.asp?tg=22&classId=480&classDate=3/14/2023&clsLoc=1,Sass Foundations: Sexy Stilettos®,Sophia, 1 hour
3,   7:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=386&classDate=3/14/2023&clsLoc=1,Chairography™,Tony, 1 hour
4,   8:20 pm  EDT,/ASP/res_a.asp?tg=22&classId=481&classDate=3/14/2023&clsLoc=1,Sexy Stilettos®,Sophia, 1 hour
