0,Start time,Sign up,Classes,Teacher,Location,Duration
46,   6:00 pm  EDT,/ASP/res_a.asp?tg=91&classId=2147085049&classDate=3/14/2023&clsLoc=1,Virtual 90 Beg Broadway Tap,Winans,Steps on Broadway, 1 hour & 30 minutes
47,   7:15 pm  EDT,/ASP/res_a.asp?tg=91&classId=2147082371&classDate=3/14/2023&clsLoc=1,Virtual 90 Advanced Tap,Carminucci,Steps on Broadway, 1 hour & 30 minutes
48,none,,,,,
49,   Theater Dance/Jazz,,,,,
50,   11:30 am  EDT,/ASP/res_a.asp?tg=91&classId=2147084622&classDate=3/14/2023&clsLoc=1,Virtual 90 Adv/Beg Theater Jazz,McRoberts,Steps on Broadway, 1 hour & 30 minutes
51,   1:15 pm  EDT,/ASP/res_a.asp?tg=91&classId=2147085703&classDate=3/14/2023&clsLoc=1,Virtual 90 Adv Theater Dance,"Lewis, S.",Steps on Broadway, 1 hour & 30 minutes
52,   1:15 pm  EDT,/ASP/res_a.asp?tg=91&classId=2147082355&classDate=3/14/2023&clsLoc=1,Virtual 90 Int Classic Theater Jazz,Moore,Steps on Broadway, 1 hour & 30 minutes
53,   4:45 pm  EDT,/ASP/res_a.asp?tg=91&classId=2147084662&classDate=3/14/2023&clsLoc=1,Virtual 90 Adv/Int Theater Jazz,Griffin,Steps on Broadway, 1 hour & 30 minutes
54,   6:30 pm  EDT,/ASP/res_a.asp?tg=91&classId=2147085411&classDate=3/14/2023&clsLoc=1,Virtual 90 Adv/Beg Theater Jazz,TBA (3),Steps on Broadway, 1 hour & 30 minutes
55,none,,,,,
56,   World Dance,,,,,
57,   7:00 pm  EDT,/ASP/res_a.asp?tg=91&classId=2147082370&classDate=3/14/2023&clsLoc=1,Virtual 90 Open Afro Brazilian,Silva,Steps on Broadway, 1 hour & 30 minutes
58,Regularly Scheduled: (1) Giljane (2) Gardner (3) Biagini,,,,,
