0,Start time,Sign up,Classes,Teacher,Studio,Duration
29,1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17079&classDate=3/14/2023&clsLoc=1,IN-PERSON: All Levels VOICE with Eric Fotre Leach,Eric Fotre Leach,Studio 4,1 hour & 30 minutes
30,1:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17067&classDate=3/14/2023&clsLoc=1,IN-PERSON: Beg THEATER with Natalie Malotke,Natalie Malotke,Studio A,1 hour & 30 minutes
31,1:00 pm  EDT,/ASP/res_a.asp?tg=48&classId=17103&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Beg THEATER with Natalie Malotke,Natalie Malotke,LS ST-A,1 hour & 30 minutes
32,1:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=17077&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Michaela McGowan,Michaela McGowan,Studio 5,1 hour & 30 minutes
33,2:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=16997&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg BALLET with Yuka Kawazu,Yuka Kawazu,Studio 1,1 hour & 30 minutes
34,2:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=17071&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with April Cook,April Cook,Studio B,1 hour & 30 minutes
35,2:45 pm  EDT,/ASP/res_a.asp?tg=48&classId=17104&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Adv Beg TAP with April Cook,April Cook,LS ST-B,1 hour & 30 minutes
36,3:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17065&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int Adv HIP-HOP with Deshawn Da Prince,Deshawn Da Prince,Studio 3,1 hour & 30 minutes
37,4:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17009&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Nijawwon Matthews,Nijawwon Matthews,Studio A,1 hour & 30 minutes
38,4:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=17081&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Ian Klein,Kenna Morris Garcia (3),Studio 4,1 hour & 30 minutes
39,4:30 pm  EDT,/ASP/res_a.asp?tg=22&classId=16645&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int BALLET with Benjamin Briones,Benjamin Briones,Studio 1,1 hour & 30 minutes
40,4:45 pm  EDT,/ASP/res_a.asp?tg=22&classId=16716&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg HEELS with Hector Lopez,Hector Lopez,Studio 3,1 hour & 30 minutes
41,6:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=17082&classDate=3/14/2023&clsLoc=1,IN-PERSON: Beg BALLET with Benjamin Briones,Benjamin Briones,Studio 4,1 hour & 30 minutes
42,6:15 pm  EDT,/ASP/res_a.asp?tg=22&classId=16146&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int Adv CONTEMPORARY JAZZ with Chris Jarosz,Chris Jarosz,Studio 1,1 hour & 30 minutes
43,6:15 pm  EDT,/ASP/res_a.asp?tg=48&classId=17106&classDate=3/14/2023&clsLoc=1,LIVESTREAM: Beg STREET JAZZ with Carlos Neto,Carlos Neto,LS ST-5,1 hour & 30 minutes
44,8:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17215&classDate=3/14/2023&clsLoc=1,IN-PERSON: Adv Beg LATIN JAZZ with Alycia Perrin,Alycia Perrin,Studio 4,1 hour & 30 minutes
45,8:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=17055&classDate=3/14/2023&clsLoc=1,IN-PERSON: All Levels CABARET BURLESQUE with Nathalie Marrable,Nathalie Marrable,Studio 3,1 hour & 30 minutes
46,8:00 pm  EDT,/ASP/res_a.asp?tg=22&classId=16751&classDate=3/14/2023&clsLoc=1,IN-PERSON: Int JAZZ with Aspen Waddell,Aspen Waddell,Studio 1,1 hour & 30 minutes
