0,Start time,Sign up,Classes,Teacher,Duration
1,none,,,,
2,   Social and Street,,,,
3,   7:00 pm  EDT,/ASP/res_a.asp?tg=64&classId=4062&classDate=3/14/2023&clsLoc=1,Online: Afro-Fusion,Tamara Jones, 1 hour & 30 minutes
