Studio,Start time,Classes,Instructor,Sign up
ILD NYC,18:30:00,Kpop Diet Dance,DJ McIver,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6638&classDate=9/19/2023&clsLoc=1
ILD NYC,19:00:00,Fast Forward | Somi Part 3,Maylin Ramos,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8432&classDate=9/19/2023&clsLoc=1
ILD NYC,19:40:00,Killin Me Good | Jihyo Part 3,Eunice Shin,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8422&classDate=9/19/2023&clsLoc=1
