Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18113&classDate=10/19/2023&clsLoc=1,IN-PERSON: Beg TAP with Jill Kenney,Jill Kenney,Studio B,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18337&classDate=10/19/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Avital Asuleen,Avital Asuleen,Studio B,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18093&classDate=10/19/2023&clsLoc=1,IN-PERSON: Basic BALLET with Dorit Koppel,June Chin (3),Studio 4,1 hour & 30 minutes
Broadway Dance Center,1:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18100&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int CONTEMPORARY with Jaclyn Walsh,Jaclyn Walsh,Studio 5,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18304&classDate=10/19/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Marjorie Failoni,Sarah Juliet Shaw (4),Studio 3,1 hour & 30 minutes
Broadway Dance Center,3:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18265&classDate=10/19/2023&clsLoc=1,IN-PERSON: Beg CONTEMPORARY with Blue,Elodie Dufroux (5),Studio A,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18245&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int Adv THEATER with Chip Abbott,Haley Davis (7),Studio 3,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18300&classDate=10/19/2023&clsLoc=1,IN-PERSON: Beg TAP with Katharine Pettit,Katharine Pettit,Studio B,1 hour & 30 minutes
Broadway Dance Center,4:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18286&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int STREET JAZZ with Bo Park,Marlon Santana (8),Studio 5,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18562&classDate=10/19/2023&clsLoc=1,IN-PERSON: Adv CONTEMPORARY FUSION with Andrew Mulet,Andrew Mulet,Studio 5,1 hour & 30 minutes
Broadway Dance Center,6:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18169&classDate=10/19/2023&clsLoc=1,IN-PERSON: Beg THEATER with Elyn Collier,Daniel Booda (9),Studio 4,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18455&classDate=10/19/2023&clsLoc=1,IN-PERSON: All Levels POPPING FOUNDATIONS with Ms Vee,Big Mike (11),Studio B,1 hour & 30 minutes
Broadway Dance Center,7:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18197&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int Adv HIP-HOP with Deshawn Da Prince,Deshawn Da Prince,Studio 5,1 hour & 30 minutes
Broadway Dance Center,9:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18508&classDate=10/19/2023&clsLoc=1,"IN-PERSON: All Levels REGGAETON with Jonathan ""Shwing"" Pena","Jonathan ""Shwing"" Pena",Studio 3,1 hour & 30 minutes
Broadway Dance Center,9:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18437&classDate=10/19/2023&clsLoc=1,IN-PERSON: Int STREET JAZZ with Yusaku Komori,Yusaku Komori,Studio 5,1 hour & 30 minutes
