Studio,Start time,Classes,Link,Instructor
Gramercy Studios,4pm,Open Level Dance Conditioning,unavailable, Kristi
Gramercy Studios,5:30pm,Adv Beg Contemp Fusion,unavailable, Yurie
Gramercy Studios,7pm,Adv Beg Choreo,unavailable, Joanna
Gramercy Studios,8:30pm,Open Level Reggaeton,unavailable, Nando
