Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825982&classDate=3/4/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146827386&classDate=3/4/2024&clsLoc=1,IN-STUDIO Romana’s Pilates,LifeSpan Pilates,Studio 2B,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825984&classDate=3/4/2024&clsLoc=1,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 5C,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825989&classDate=3/4/2024&clsLoc=1,IN-STUDIO Zumba Fitness,Will Negrillo,Studio 1B,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825980&classDate=3/4/2024&clsLoc=1,IN-STUDIO Afro'Dance,Judith McCarty,Studio 5B,1 hour
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825986&classDate=3/4/2024&clsLoc=1,IN-STUDIO Hip Hop Cardio,Matthew Johnson Harris,Studio 6C,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825983&classDate=3/4/2024&clsLoc=1,IN-STUDIO Beginner Contemporary,Linda Celeste Sims,Studio 1A,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825985&classDate=3/4/2024&clsLoc=1,IN-STUDIO Beginner West African,Maguette Camara,Studio 2A,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825979&classDate=3/4/2024&clsLoc=1,IN-STUDIO African - Brazilian,Janete Da Silva,Studio 2B,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825988&classDate=3/4/2024&clsLoc=1,IN-STUDIO New Way Vogue,Rinor Zymberi (1),Studio 5D,1 hour &30 minutes
