Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Winnie Chung,none
ILD Queens,18:00:00,Guilty | Taemin Part 1,Eunice Shin,none
ILD Queens,19:30:00,Siren | Riize Part 1,Christina Ryu,none
