Studio,Start time,Classes,Instructor,Sign up
Ballet Arts,11:00:00,Int Ballet,Simon Kazantsev,none
Ballet Arts,12:30:00,Int Ballet,Noriko Hara,none
Ballet Arts,14:00:00,Pointe Class 1 Hour,Noriko Hara,none
Ballet Arts,15:00:00,Adv Beg Ballet,Kenny Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2284&classDate=11/26/2023&clsLoc=1
Ballet Arts,16:30:00,Missing Link Series,Richard Marsden,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2399&classDate=11/26/2023&clsLoc=1
Ballet Arts,09:30:00,Adv Beg Ballet,Yumiko Niimi,none
