Studio,Start time,,Classes,Teacher,Pianist,Room,Duration
Ballet Academy East,9:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7972&classDate=4/2/2024&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Sean Kelly (3),none,Studio 6,1 hour &30 minutes
Ballet Academy East,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7942&classDate=4/2/2024&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Selina Chau,none,Studio 2,1 hour &30 minutes
Ballet Academy East,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7905&classDate=4/2/2024&clsLoc=1,IN-STUDIO Mat Pilates Class,Ashley Carter,none,Studio 4,1 hour
Ballet Academy East,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7992&classDate=4/2/2024&clsLoc=1,IN-STUDIO Intermediate Ballet,Sean Kelly (4),none,Studio 6,1 hour &30 minutes
Ballet Academy East,11:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7928&classDate=4/2/2024&clsLoc=1,IN-STUDIO Introduction to Ballet,Julie Voshell,none,Studio 4,1 hour &30 minutes
Ballet Academy East,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7956&classDate=4/2/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Justin Sherwood,none,Studio 2,1 hour &30 minutes
Ballet Academy East,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7973&classDate=4/2/2024&clsLoc=1,IN-STUDIO Advanced Beginner Ballet,Sean Kelly,none,Studio 4,1 hour &30 minutes
Ballet Academy East,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7993&classDate=4/2/2024&clsLoc=1,IN-STUDIO Intermediate Ballet,Julie Voshell,none,Studio 1,1 hour &30 minutes
Ballet Academy East,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7929&classDate=4/2/2024&clsLoc=1,IN-STUDIO Introduction to Ballet,Hope Ruth,none,Studio 3,1 hour &30 minutes
Ballet Academy East,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7943&classDate=4/2/2024&clsLoc=1,IN-STUDIO Basic Beginner Ballet,Ashley Talluto,none,Studio 5,1 hour &30 minutes
Ballet Academy East,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7957&classDate=4/2/2024&clsLoc=1,IN-STUDIO Beginner Ballet,Sean Kelly,none,Studio 4,1 hour &30 minutes
