Studio,Start time,Sign up,Classes,Instructor
Modega,5:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/P8DIIyHcVl4TYQtmG4q5,Int./Adv. Choreography,Jaelen Williams
Modega,6:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/Ru06SA3OtT3o3vFPXMNn,Adv. Beginner/Int. Choreography,Unique Clay
Modega,6:30 PM EDT • (85 min),https://sutrapro.com/modega/checkout/dZl4wlQjqMhMFGikkYUQ,All Levels Waacking,David Lee
Modega,8:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/p3xKIEaUHIwGEX3q7wGx,Beg./Adv. Beg. Choreography,Edson Maldonado
Modega,8:00 PM EDT • (85 min),https://sutrapro.com/modega/checkout/J8tjqKU8RpPYbA4o5jG2,Intermediate House,Shango “Jungle” Bartley
Modega,9:30 PM EDT • (120 min),https://sutrapro.com/modega/checkout/PonQLK2S4dT0bAo3aHnH,"Open ""Modega"" House/Funk Session",Huu Rock
