Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=20976&classDate=12/15/2024&clsLoc=1,Beg STREET STYLES with Chris Palacio,Chris Palacio,Studio 3,1 hour &30 minutes
Broadway Dance Center,9:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21443&classDate=12/15/2024&clsLoc=1,All Levels CHAKRA YOGA with Renata Bonar,Renata Bonar,Studio 2,1 hour &15 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21678&classDate=12/15/2024&clsLoc=1,Adv Beg HIP-HOP with Nick Kim,Nick Kim,Studio 5,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19806&classDate=12/15/2024&clsLoc=1,Beg BALLET with Joy Karley,Joy Karley,Studio 4,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21194&classDate=12/15/2024&clsLoc=1,Int Adv THEATER with Karla Puno Garcia,Karla Puno Garcia,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21530&classDate=12/15/2024&clsLoc=1,Basic JAZZ with Heather Rigg,Heather Rigg,Studio A,1 hour &30 minutes
Broadway Dance Center,1:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19655&classDate=12/15/2024&clsLoc=1,Adv Beg TAP with Doug Shankman,Sheila Pomroy (2),Studio B,1 hour &30 minutes
Broadway Dance Center,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21454&classDate=12/15/2024&clsLoc=1,Adv Beg JAZZ FUNK with Chio,Chio,Studio 5,1 hour &30 minutes
Broadway Dance Center,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21534&classDate=12/15/2024&clsLoc=1,Beg JAZZ with Heather Rigg,Heather Rigg,Studio A,1 hour &30 minutes
Broadway Dance Center,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19801&classDate=12/15/2024&clsLoc=1,Basic TAP with Sheila Pomroy,Sheila Pomroy,Studio B,1 hour &30 minutes
Broadway Dance Center,3:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21535&classDate=12/15/2024&clsLoc=1,Adv Beg CONTEMPORARY with Alex Mitchell,"Julie ""JJ"" Joseph (3)",Studio 2,1 hour &30 minutes
