Studio,Start time,Sign up,Classes,Teacher,Duration
PMT House of Dance,11:30 am EST,none,IN PERSON: Open Barre,Cancelled Today,1 hour &30 minutes
PMT House of Dance,1:00 pm EST,none,IN PERSON: Beginner Contemporary,Cancelled Today,1 hour &30 minutes
PMT House of Dance,2:00 pm EST,none,IN PERSON: Open Waacking,Cancelled Today,1 hour &30 minutes
PMT House of Dance,2:30 pm EST,none,IN PERSON: Basic Jazz,Cancelled Today,1 hour &30 minutes
PMT House of Dance,4:00 pm EST,none,IN PERSON: Beginner Ballet,Cancelled Today,1 hour &30 minutes
PMT House of Dance,5:30 pm EST,none,IN PERSON: Adv. Beg. Hip Hop,Cancelled Today,1 hour &30 minutes
PMT House of Dance,7:15 pm EST,none,IN PERSON: Adv. Beg. Hip Hop Choreo,Cancelled Today,1 hour &30 minutes
