Studio,Start time,Sign up,Classes,Teacher,Duration
Brickhouse,9:00 am EST,none,Kids X Factory Training,Kelly Peters,2 hours
Brickhouse,11:00 am EST,none,Gen XS (Crew Rehearsal),Kelly Peters,2 hours
Brickhouse,1:00 pm EST,none,X Factory Training,Kelly Peters,3 hours
Brickhouse,4:00 pm EST,none,X Factory Training,Kelly Peters,3 hours
Brickhouse,7:00 pm EST,none,X Pro (Crew Rehearsal),Kelly Peters,2 hours
