Studio,Start time,Sign up,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146828496&classDate=12/16/2024&clsLoc=1,IN-STUDIO Beg Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146828541&classDate=12/16/2024&clsLoc=1,IN-STUDIO Romana’s Mat Pilates,LifeSpan Pilates,Studio 2B,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146828526&classDate=12/16/2024&clsLoc=1,IN-STUDIO Beg West African,Bakary Fall (1),Studio 2A,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146829887&classDate=12/16/2024&clsLoc=1,IN-STUDIO Adv Beg Contemporary,Michael Thomas,Studio 1A,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146828488&classDate=12/16/2024&clsLoc=1,IN-STUDIO Open Afro-Brazilian,Janete Da Silva,Studio 2B,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146828534&classDate=12/16/2024&clsLoc=1,IN-STUDIO Open New Way Vogue,Stan Elle,Studio 5D,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146828529&classDate=12/16/2024&clsLoc=1,IN-STUDIO Hip Hop Cardio,Matthew Johnson Harris,Studio 5D,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146829741&classDate=12/16/2024&clsLoc=1,IN-STUDIO Adv Beg Hip Hop,TweetBoogie,Studio 5B,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146828550&classDate=12/16/2024&clsLoc=1,IN-STUDIO Zumba®,Will Negrillo,Studio 1B,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146829857&classDate=12/16/2024&clsLoc=1,IN-STUDIO Adv Beg Horton,Michael Snipe,Studio 6A,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146828491&classDate=12/16/2024&clsLoc=1,IN-STUDIO Open Afro'Dance,Judith McCarty,Studio 5A,1 hour
Ailey Studios,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146830479&classDate=12/16/2024&clsLoc=1,IN-STUDIO Open Haitian Folkloric,Robenson Mathurin,Studio 2A,1 hour &30 minutes
