Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21114&classDate=12/16/2024&clsLoc=1,Adv Beg CONTEMP JAZZ with Ashley Lynne King,Ashley Lynne King,Studio A,1 hour &30 minutes
Broadway Dance Center,9:15 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21106&classDate=12/16/2024&clsLoc=1,All Levels YOGA AND MEDITATION with Lauren Marsaglia,Lauren Marsaglia,Studio 2,1 hour &15 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21689&classDate=12/16/2024&clsLoc=1,All Levels VOGUING with Jason A. Rodriguez,"Jason A. Rodriguez ""Slim 007""",Studio 4,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21128&classDate=12/16/2024&clsLoc=1,Beg HIP-HOP with Paolo Penala,Paolo Slice Penala,Studio 5,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21671&classDate=12/16/2024&clsLoc=1,Int CONTEMP FUSION with Maleek Washington,Maleek Washington,Studio 3,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21148&classDate=12/16/2024&clsLoc=1,Adv Beg CONTEMP LYRICAL with Tracie Stanfield,Tracie Stanfield,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21446&classDate=12/16/2024&clsLoc=1,All Levels STRENGTH AND FLEXIBILITY with Kristi Tartaglione,Kristi Tartaglione,Studio 4,1 hour &30 minutes
Broadway Dance Center,12:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21909&classDate=12/16/2024&clsLoc=1,Adv Beg STREET JAZZ with Derek Mitchell,Derek Mitchell,Studio 5,1 hour &30 minutes
Broadway Dance Center,12:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21149&classDate=12/16/2024&clsLoc=1,Beg THEATER with Ian Klein,Ian Klein,Studio 2,1 hour &30 minutes
Broadway Dance Center,1:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21173&classDate=12/16/2024&clsLoc=1,Basic TAP with Brent McBeth,Brent McBeth,Studio B,1 hour &30 minutes
Broadway Dance Center,1:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21575&classDate=12/16/2024&clsLoc=1,Int THEATER with Tanner Lane,Tanner Lane,Studio 1,1 hour &30 minutes
Broadway Dance Center,2:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21171&classDate=12/16/2024&clsLoc=1,Basic HIP-HOP with Geheny Rivera,Geheny Rivera,Studio 5,1 hour &30 minutes
Broadway Dance Center,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21174&classDate=12/16/2024&clsLoc=1,Adv Beg BALLET with Deanna Doyle,Deanna Doyle,Studio 1,1 hour &30 minutes
Broadway Dance Center,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21596&classDate=12/16/2024&clsLoc=1,Beg TAP with Kat Ponza,Kat Ponza,Studio B,1 hour &30 minutes
Broadway Dance Center,3:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21163&classDate=12/16/2024&clsLoc=1,Adv Beg STREET JAZZ with Bo Belza,Bo Belza,Studio 3,1 hour &30 minutes
Broadway Dance Center,3:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21179&classDate=12/16/2024&clsLoc=1,Int Adv HIP-HOP with David Thomas,David Thomas,Studio 5,1 hour &30 minutes
Broadway Dance Center,5:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21187&classDate=12/16/2024&clsLoc=1,Beg BALLET with Dorit Koppel,Dorit Koppel,Studio 1,1 hour &30 minutes
Broadway Dance Center,5:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21209&classDate=12/16/2024&clsLoc=1,Int TAP with Ray Hesselink,Maddie Rae Russo (3),Studio B,1 hour &30 minutes
Broadway Dance Center,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21188&classDate=12/16/2024&clsLoc=1,Beg STREET STYLES with J Lyn,J Lyn,Studio 2,1 hour &30 minutes
Broadway Dance Center,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21849&classDate=12/16/2024&clsLoc=1,Adv Beg THEATER with Daniel Booda,Daniel Booda,Studio 1,1 hour &30 minutes
Broadway Dance Center,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21616&classDate=12/16/2024&clsLoc=1,Beg MECHANICS OF TAP with Ja'Bowen Dixon,Ja'Bowen Dixon,Studio B,1 hour &30 minutes
Broadway Dance Center,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21848&classDate=12/16/2024&clsLoc=1,Basic STREET STYLES/HIP-HOP with AntBoogie,AntBoogie,Studio 2,1 hour &30 minutes
Broadway Dance Center,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21214&classDate=12/16/2024&clsLoc=1,Int Adv STREET JAZZ with Keenan Cooks,Keenan Cooks,Studio 5,1 hour &30 minutes
Broadway Dance Center,8:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21947&classDate=12/16/2024&clsLoc=1,Adv CONTEMPORARY with Marinda Davis,Marinda Davis,Studio 1,1 hour &30 minutes
Broadway Dance Center,8:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21219&classDate=12/16/2024&clsLoc=1,Int CONTEMP FUSION with Camryn Brothers,Camryn Brothers,Studio A,1 hour &30 minutes
Broadway Dance Center,9:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21913&classDate=12/16/2024&clsLoc=1,Int Adv HIP-HOP with Nycole Altchiler,Nycole Altchiler,Studio 5,1 hour &30 minutes
Broadway Dance Center,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21802&classDate=12/16/2024&clsLoc=1,Int BALLET with Rose Alice,Rose Alice,Studio 1,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21670&classDate=12/16/2024&clsLoc=1,Adv Beg THEATER with Jason Wise,Jason Wise,Studio A,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=21117&classDate=12/16/2024&clsLoc=1,Beg BALLET with Michele Moreno,June Chin (1),Studio 1,1 hour &30 minutes
Broadway Dance Center,10:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=20937&classDate=12/16/2024&clsLoc=1,Beg TAP with Nicole Ohr,Nicole Ohr,Studio B,1 hour &30 minutes
