Studio,Start time,,Classes,Teacher,Accompanist,Location,Duration
Peridance,9:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6974&classDate=12/18/2023&clsLoc=1,Open Body Maintenance Training,Roukijah “NutellaK” Rooks | GETFITNK,none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5899&classDate=12/18/2023&clsLoc=1,Adv Ballet,Artistic Director: Igal Perry,Michael Dolnikov,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6726&classDate=12/18/2023&clsLoc=1,Inter Contemporary,Lorena Cobos (1),none,Peridance Center,1 hour &30 minutes
Peridance,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=5871&classDate=12/18/2023&clsLoc=1,Open Simonson Jazz,Leann Gioia,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=5497&classDate=12/18/2023&clsLoc=1,Adv Contemporary,Elisabetta Minutoli,none,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=6720&classDate=12/18/2023&clsLoc=1,Beg Ballet,Martha Chapman,Michael Dolnikov,Peridance Center,1 hour &30 minutes
Peridance,11:30 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6785&classDate=12/18/2023&clsLoc=1,Open Emergent Improvisation,Alexis Vinzons (2),none,Peridance Center,1 hour &30 minutes
Peridance,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6728&classDate=12/18/2023&clsLoc=1,Open Yoga,Sarah Iguchi (3),none,Peridance Center,1 hour
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6729&classDate=12/18/2023&clsLoc=1,Adv Performance Groove,Kendrick Samuel,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=45&classId=5500&classDate=12/18/2023&clsLoc=1,Inter Ballet,Gabrielle Lamb,none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6766&classDate=12/18/2023&clsLoc=1,Inter Contemporary,Guest Artist (4),none,Peridance Center,1 hour &30 minutes
Peridance,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=73&classId=6229&classDate=12/18/2023&clsLoc=1,Open Pilates,Yuki Hasegawa,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6786&classDate=12/18/2023&clsLoc=1,Adv Contemporary,Guest Artist (5),none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=6718&classDate=12/18/2023&clsLoc=1,Beg Graham,Caterina Rago,none,Peridance Center,1 hour &30 minutes
Peridance,2:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5400&classDate=12/18/2023&clsLoc=1,Open House,Ejoe Wilson,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6764&classDate=12/18/2023&clsLoc=1,Beg Foundations of Hip Hop,TweetBoogie _,none,Peridance Center,1 hour &30 minutes
Peridance,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=51&classId=6763&classDate=12/18/2023&clsLoc=1,Inter Theater,Leslie Blake Walker (6),none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6852&classDate=12/18/2023&clsLoc=1,Adv Commercial Hip Hop,Joshua Johnson,none,Peridance Center,1 hour &30 minutes
Peridance,5:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6831&classDate=12/18/2023&clsLoc=1,Inter Contemporary,Catie Leasca,none,Peridance Center,1 hour &30 minutes
Peridance,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=5395&classDate=12/18/2023&clsLoc=1,Adv Choreography,Bo Park,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=6977&classDate=12/18/2023&clsLoc=1,Adv Contemporary,Tushrik Fredericks,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6657&classDate=12/18/2023&clsLoc=1,Beg Hip Hop,Hurrikane _,none,Peridance Center,1 hour &30 minutes
Peridance,7:15 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=70&classId=6656&classDate=12/18/2023&clsLoc=1,Beg Salsa Partnering,Ahtoy Juliana | BAILA Society,none,Peridance Center,1 hour &30 minutes
Peridance,8:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=67&classId=6791&classDate=12/18/2023&clsLoc=1,Inter Afrobeats,Omari Wiles,none,Peridance Center,1 hour &30 minutes
Peridance,8:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=75&classId=6963&classDate=12/18/2023&clsLoc=1,Inter/Adv Waacking | GUEST CLASS,Nubian Néné,none,Peridance Center,1 hour &30 minutes
