Studio,Start time,,Class Schedule,Instructor,Studio,Duration
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825958&classDate=12/18/2023&clsLoc=1,IN-STUDIO Barre Fusion,Brandy Williams,Studio 2B,1 hour
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825207&classDate=12/18/2023&clsLoc=1,IN-STUDIO Hip Hop Cardio,Matthew Johnson Harris,Studio 5B,1 hour
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824811&classDate=12/18/2023&clsLoc=1,IN-STUDIO Beginner West African,Bakary Fall (1),Studio 2A,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824778&classDate=12/18/2023&clsLoc=1,IN-STUDIO African - Brazilian,Janete Da Silva,Studio 2B,1 hour &30 minutes
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824793&classDate=12/18/2023&clsLoc=1,IN-STUDIO Beginner Contemporary,Linda Celeste Sims,Studio 1A,1 hour &30 minutes
Ailey Studios,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824784&classDate=12/18/2023&clsLoc=1,IN-STUDIO Beginner Ballet,Anna Lederfeind,Studio 1C,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825202&classDate=12/18/2023&clsLoc=1,IN-STUDIO Beginner Hip-Hop,TweetBoogie,Studio 5C,1 hour &30 minutes
Ailey Studios,6:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824831&classDate=12/18/2023&clsLoc=1,IN-STUDIO Zumba Fitness,Will Negrillo,Studio 1B,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824781&classDate=12/18/2023&clsLoc=1,IN-STUDIO Afro'Dance,CREES (2),Studio 5B,1 hour
Ailey Studios,7:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146825217&classDate=12/18/2023&clsLoc=1,IN-STUDIO New Way Vogue,Jason Rodriguez,Studio 5D,1 hour &30 minutes
