Studio,Start time,Sign up,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17944&classDate=8/12/2023&clsLoc=1,IN-PERSON: Basic THEATER with Melodye Redding,Melodye Redding,Studio 4,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18154&classDate=8/12/2023&clsLoc=1,IN-PERSON: Adv Beg JAZZ with Eric Campros,Eric Campros,Studio 3,1 hour & 30 minutes
Broadway Dance Center,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17796&classDate=8/12/2023&clsLoc=1,IN-PERSON: Basic TAP with Avital Asuleen,Avital Asuleen,Studio B,1 hour & 30 minutes
Broadway Dance Center,10:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17453&classDate=8/12/2023&clsLoc=1,IN-PERSON: Adv Beg CONTEMPORARY JAZZ with Ashley Lynne King,Ashley Lynne King,Studio 4,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17855&classDate=8/12/2023&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with Robert Taylor Jr.,Robert Taylor Jr,Studio 3,1 hour & 30 minutes
Broadway Dance Center,11:30 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17795&classDate=8/12/2023&clsLoc=1,IN-PERSON: Adv Beg TAP with Avital Asuleen,Avital Asuleen,Studio B,1 hour & 30 minutes
Broadway Dance Center,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17797&classDate=8/12/2023&clsLoc=1,IN-PERSON: Basic BALLET with Jessica Epting,Michele Moreno (5),Studio 1,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17639&classDate=8/12/2023&clsLoc=1,IN-PERSON: Adv Beg THEATER with Jason Wise,Jason Wise,Studio A,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17993&classDate=8/12/2023&clsLoc=1,IN-PERSON: Beg STREET JAZZ with Elodie Dufroux,Elodie Dufroux,Studio 3,1 hour & 30 minutes
Broadway Dance Center,1:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17713&classDate=8/12/2023&clsLoc=1,IN-PERSON: Int TAP with Madison Hilligoss,Madison Hilligoss,Studio B,1 hour & 30 minutes
