Studio,Start time,Classes,Instructor,Length
PJM LIC,11:30 am,Open Kpop (Girl Groups),Joy,1 hr 30 min
PJM LIC,2:00 pm,Beg Theater Jazz,Kim Ross,1 hr 30 min
PJM LIC,3:30 pm,Vogue Femme Basics,Saki,1 hr 30 min
PJM LIC,5:00 pm,Adv Beg Choreography,Rose Lu,1 hr 30 min
