Studio,Start time,,Classes,Teacher,Room,Duration
ILoveDance,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=9629&classDate=5/1/2024&clsLoc=1,In-StudioM: SHEESH | BABYMONSTER (Part 1),MJ Choi,Manhattan,1 hour &20 minutes
ILoveDance,8:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6064&classDate=5/1/2024&clsLoc=1,In-StudioM: Adv Beg Choreography,Alice Wu,Manhattan,1 hour &20 minutes
