Studio,Start time,,Classes,Teacher,Room,Duration
ILoveDance,6:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=9472&classDate=4/5/2024&clsLoc=1,In-StudioM: EENIE MEENIE | CHUNG HA (Part 1),MJ Choi,Manhattan,1 hour &20 minutes
ILoveDance,8:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=9408&classDate=4/5/2024&clsLoc=1,In-StudioM: TAP | TAEYONG (Part 1),Ying Dong,Manhattan,1 hour &20 minutes
