Studio,Start time,,Classes,Teacher,Studio,Duration
Broadway Dance Center,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19286&classDate=4/5/2024&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with Paolo Penala,Paolo Slice Penala,Studio 5,1 hour &30 minutes
Broadway Dance Center,9:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18850&classDate=4/5/2024&clsLoc=1,IN-PERSON: All Levels YOGA FLOW: STRETCH & STRENGTHEN with Alyssa Click,Alyssa Click,Studio 2,1 hour &15 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18666&classDate=4/5/2024&clsLoc=1,IN-PERSON: Beg BALLET with Michele Moreno,Michele Moreno,Studio 1,1 hour &30 minutes
Broadway Dance Center,10:30 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19328&classDate=4/5/2024&clsLoc=1,IN-PERSON: Int PRECISION JAZZ with Katie Walker,Katie Walker,Studio 4,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18689&classDate=4/5/2024&clsLoc=1,IN-PERSON: Adv Beg BALLET with Natalya Stavro,Natalya Stavro,Studio 1,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19263&classDate=4/5/2024&clsLoc=1,IN-PERSON: Adv Beg THEATER with Amanda LaMotte,Amanda LaMotte,Studio 4,1 hour &30 minutes
Broadway Dance Center,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19190&classDate=4/5/2024&clsLoc=1,IN-PERSON: Beg JAZZ FUNK with Chio,Chio,Studio 5,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19244&classDate=4/5/2024&clsLoc=1,IN-PERSON: Adv Beg HIP-HOP with Geheny Rivera,Geheny Rivera,Studio 5,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19276&classDate=4/5/2024&clsLoc=1,IN-PERSON: Basic BALLET with Joy Karley,Joy Karley,Studio 4,1 hour &30 minutes
Broadway Dance Center,1:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19363&classDate=4/5/2024&clsLoc=1,IN-PERSON: Beg THEATER with Deanna Doyle,Deanna Doyle,Studio 2,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19376&classDate=4/5/2024&clsLoc=1,IN-PERSON: Adv Beg HEELS with Yvonne Marie Sain,Yvonne Marie Sain,Studio 2,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18234&classDate=4/5/2024&clsLoc=1,IN-PERSON: Beg BROADWAY TAP with Deanna Doyle,Deanna Doyle,Studio B,1 hour &30 minutes
Broadway Dance Center,3:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18704&classDate=4/5/2024&clsLoc=1,IN-PERSON: Int Adv JAZZ with Debbie Roshe,Debbie Roshe,Studio A,1 hour &30 minutes
Broadway Dance Center,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18361&classDate=4/5/2024&clsLoc=1,IN-PERSON: Adv Beg TAP with Rashaan James II,Colleen Roberts (3),Studio B,1 hour &30 minutes
Broadway Dance Center,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19237&classDate=4/5/2024&clsLoc=1,IN-PERSON: Int Adv STREET JAZZ with Neil Schwartz,Maria Cherniske (4),Studio 5,1 hour &30 minutes
Broadway Dance Center,4:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18924&classDate=4/5/2024&clsLoc=1,IN-PERSON: Int THEATER with Skye Mattox,Skye Mattox,Studio A,1 hour &30 minutes
Broadway Dance Center,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18855&classDate=4/5/2024&clsLoc=1,IN-PERSON: All Levels DANCEHALL with Korie Genius,Korie Genius,Studio 2,1 hour &30 minutes
Broadway Dance Center,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19205&classDate=4/5/2024&clsLoc=1,IN-PERSON: Basic STREET JAZZ with Q,Q,Studio 5,1 hour &30 minutes
Broadway Dance Center,6:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19291&classDate=4/5/2024&clsLoc=1,IN-PERSON: Int Adv THEATER with Richard J. Hinds,Richard J. Hinds,Studio A,1 hour &30 minutes
Broadway Dance Center,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18859&classDate=4/5/2024&clsLoc=1,IN-PERSON: Beg THEATER with Joey Tierno,Joey Tierno,Studio 2,1 hour &30 minutes
Broadway Dance Center,7:30 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=19174&classDate=4/5/2024&clsLoc=1,IN-PERSON: Int JAZZ FUSION with Michelle Barber,Michelle Barber,Studio 1,1 hour &30 minutes
Broadway Dance Center,9:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18559&classDate=4/5/2024&clsLoc=1,IN-PERSON: Adv Beg LYRICAL with Emily Bufferd,Emily Bufferd,Studio A,1 hour &30 minutes
