Studio,Start time,Classes,Instructor,Sign up
ILD Queens,16:45:00,Kids Kpop 8,Eunice Shin,none
ILD Queens,18:00:00,Guilty | Taemin Part 1,Eunice Shin,none
ILD Queens,19:30:00,Set Me Free Pt.2 | Jimin One Day,Ying Dong,none
