Studio,Start time,Sign up,Sessions,Teacher,Studio,Duration
Gibney 280,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12556&classDate=8/22/2023&clsLoc=1,Ballet with Gilbert T Small II at 890,Gilbert T Small II,Gibney 890: Studio 5-2,1 hour & 45 minutes
Gibney 280,10:00 am  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12866&classDate=8/22/2023&clsLoc=1,Contemporary at 280,Thryn Saxon,Gibney 280: Studio C,1 hour & 45 minutes
Gibney 280,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12867&classDate=8/22/2023&clsLoc=1,Contemporary Floorwork at 280,Rebecca Sandlin,Gibney 280: Studio C,1 hour & 45 minutes
Gibney 280,12:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12562&classDate=8/22/2023&clsLoc=1,Pro Ballez with Katy Pyle at 890,Katy Pyle,Gibney 890: Studio 5-2,1 hour & 45 minutes
Gibney 280,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12563&classDate=8/22/2023&clsLoc=1,Intermediate/Advanced Contemporary/Simonson with Laurie DeVito at 280,Laurie DeVito,Gibney 280: Studio C,1 hour & 45 minutes
Gibney 280,2:00 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=55&classId=12889&classDate=8/22/2023&clsLoc=1,The Playground,Joy-Marie Thompson,Gibney 280 - Studio H,1 hour & 45 minutes
Gibney 280,6:30 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12568&classDate=8/22/2023&clsLoc=1,Intermediate/Advanced Beginner Ballet with Kat Wildish at 890,Kat Wildish,Gibney 890: Studio 5-2,1 hour
Gibney 280,6:45 pm  EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=52&classId=12791&classDate=8/22/2023&clsLoc=1,Gaga/dancers at 280,Rotating Gaga Teachers,Gibney 280: Studio C,1 hour & 15 minutes
