Studio,Start time,,Classes,Teacher,Co-Teacher/Assistant,Musician,Duration
Mark Morris Dance,9:00 am EDT,none,Gaga/people,Doron Perk *GAGA (Masks Optional) (1),none,none,1 hour
Mark Morris Dance,9:00 am EDT,none,Gyrokinesis,Alexandra *Berger (Mask Optional),none,none,1 hour &15 minutes
Mark Morris Dance,10:00 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=5557&classDate=3/18/2024&clsLoc=1,Advanced Ballet,Kelly *Slough (Mask Optional),none,Alex *Perry,2 hours
Mark Morris Dance,10:15 am EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5058&classDate=3/18/2024&clsLoc=1,Cunningham Technique Open Class,Carol Teitelbaum *Cunningham (Mask Optional) (2),none,Jack *Goode,1 hour &30 minutes
Mark Morris Dance,12:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5631&classDate=3/18/2024&clsLoc=1,Beginner Modern,Claudia *McDonald (Mask Optional) (3),none,Alex *Perry,1 hour &30 minutes
Mark Morris Dance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4989&classDate=3/18/2024&clsLoc=1,Beginner Ballet,Kelly *Slough (Mask Optional),none,Brendan *Polk,1 hour &30 minutes
Mark Morris Dance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=100&classId=5057&classDate=3/18/2024&clsLoc=1,Dance Church®,Dance Church *Rotating Faculty (Mask Optional),none,none,1 hour &15 minutes
Mark Morris Dance,7:00 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5522&classDate=3/18/2024&clsLoc=1,Open Level Street Jazz,Kim Holmes (Mask Optional),none,none,1 hour &30 minutes
Mark Morris Dance,7:15 pm EDT,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=5551&classDate=3/18/2024&clsLoc=1,Open Level Hip-Hop,Léa *Ono (Masks Optional),none,none,1 hour &30 minutes
